date,new_confirmed,category_value,category_label,,Tweet
01-09-2019,0,0,No change on the spread of COVID19,,
02-09-2019,0,0,No change on the spread of COVID19,,
03-09-2019,0,0,No change on the spread of COVID19,,
04-09-2019,0,0,No change on the spread of COVID19,,
05-09-2019,0,0,No change on the spread of COVID19,,
06-09-2019,0,0,No change on the spread of COVID19,,
07-09-2019,0,0,No change on the spread of COVID19,,
08-09-2019,0,0,No change on the spread of COVID19,,
09-09-2019,0,0,No change on the spread of COVID19,,
10-09-2019,0,0,No change on the spread of COVID19,,
11-09-2019,0,0,No change on the spread of COVID19,,
12-09-2019,0,0,No change on the spread of COVID19,,
13-09-2019,0,0,No change on the spread of COVID19,,
14-09-2019,0,0,No change on the spread of COVID19,,
15-09-2019,0,0,No change on the spread of COVID19,01-09-2019, This PrepardenessMonth take 20 minutes to make an EmergencyPlan More info on how to keep you and your family safe     DYK victims can submit a complaint under the Canadian Victims Bill of Rights if they believe their rights have been infringed or denied Learn more about making a complaint   VictimsInfo DYK that Hurricane season is from May to November Follow ECCCCHC for the latest on tropical storms and hurricanes
16-09-2019,0,0,No change on the spread of COVID19,02-09-2019, Prime Minister Justin Trudeau accompanied by Minister Filomena Tassi participates in Labour Day activities in Hamilton Ontario  Canadians are thinking of all those in the Bahamas impacted by Hurricane Dorians destruction Were ready to provide support if needed And I urge everyone still in the storms path to stay safe amp follow instructions from local authoritiesPrime Minister Justin Trudeau  Prime Minister Justin Trudeaus statement on Labour Day  Congratulations to the athletes who represented Canada at the ParapanAmericanGames Lima2019  Teach your kids these bus SafetyTips this backtoschool season Keep your head arms and everything inside the bus Talk quietly so the driver can concentrate When crossing walk 10 feet in front of the bus so the driver can see you More info   Our CrossCultural Roundtable on Security was created to engage with Canadians about matters of NationalSecurity Check out meeting summaries here  
17-09-2019,0,0,No change on the spread of COVID19,03-09-2019, RT CMHCca The FirstTime Home Buyer Incentive has launched and you can now apply For more info  FTHBI  Are you ready for Hurricanes Make sure to be storm prepared   BostonChildrens Dr Heidi Ellis newest research project will collaborate with mcgillu to highlight how social connections relate to trust and resilience in Canadas communities See what Dr Ellis has to say about it  Working with experts around the world helps us to develop the most effective CVE efforts in Canada Learn more about the project here  We want to know too Thats why the Community Resilience Fund is providing 348K over 2 years to support BostonChildrens to uncover the answer When someone feels they are being treated unfairly how can protective factors like trust and strong social connections reduce the chances of them turning to violence  The SARNIF call for proposals is open until Sept 27 Dont wait to start your application see our guide for more info   SearchAndRescue  ThatOthersMayLive  RT RCMPNatDiv Its back to school Be careful on the roads  RT rcmpgrcpolice Read the latest issue of the RCMPs Gazette magazine on innovation to learn how our employees are developing smart solut RT PBCCLCC Is your conviction for simple possession of cannabis a barrier to employment Learn the 5 simple steps to apply for a cannabi Happy TriviaTuesday When is Tornado season
18-09-2019,0,0,No change on the spread of COVID19,04-09-2019, Prime Minister Justin Trudeau discusses rural broadband highspeed internet access with small business owners today in Owen Sound Ontario  Prime Minister Justin Trudeau announces the appointment of Dominic Barton as Canadas Ambassador to China  RT CanadaDev Canada is announcing up to 500000 in emergency assistance to support experienced humanitarian organizations in the afterma BeAwareofTheSigns  If you are a victim or survivor of HumanTrafficking or think someone might be call the Canadian Human Trafficking Hotline at 1 833 900 1010 Together lets EndHumanTrafficking   Retired RCMP Assistant Commissioner Shirley Cuillierrier is named as Special Advisor to Combat HumanTrafficking to support the GoC on efforts to raise awareness about this heinous crime Today Min Goodale highlighted a range of initiatives to combat HumanTrafficking as part of the new wholeofgovernment National Strategy to Combat Human Trafficking 20192024   If youre a victim of crime and believe your rights have been denied you can submit a complaint to the Govt under the Canadian Victims Bill of Rights Learn more about the complaint process VictimsInfo HumanTrafficking is an abhorrent crime that affects society as a whole and we must take coordinated measures to end it The GoC unveils new Strategy supported by investments of more than 75M to counter this crime   DYK that recent disasters have cost billions in damages and displaced thousands of people Were now accepting applications for projects that will increase the level of awareness amp preparedness of  vulnerable Canadians   RT PrivacyPrivee Dont provide your personal info to anyone who phones you unless you can confirm they are from a legitimate company Sta Tornado season extends from April to September GetPrepared   RT CanadaDev Canada is announcing up to 500000 in emergency assistance to support experienced humanitarian organizations in the afterma
19-09-2019,0,0,No change on the spread of COVID19,05-09-2019, Prime Minister Justin Trudeau announces a new Lieutenant Governor for New Brunswick  CostumeCinemato We would need more information could you drop us a line on our General inquiries inbox Thanks Moved during the summer GetPrepared by making sure your childs school has your new contact information More info on BackToSchool emergency planning   RT PrivacyPrivee The OPC has developed a new series of activity sheets to help parents and guardians talk to their kids about the digital RT PBCCLCC Registered victims have a right to participate in the parole process of the offender who harmed them Check out our video on RT Transportgc Dont be late for your flight on BeLateForSomethingDay  Before you travel make sure you have the right documents ht
20-09-2019,0,0,No change on the spread of COVID19,06-09-2019, RT GovCanNorth For these members of the PMYouthCouncil the North is home Last month in Iqaluit Nunavut they shared their perspect RT nsemo Its a good idea to trim any trees before a storm to reduce the danger of trees falling onto your house and car NSStorm Dori RT hfxgov Were asking residents living along the shoreline of the municipality to consider voluntary evacuations until Hurricane Dorian RT PEIPublicSafety Its always a good idea to prepare for potential power outages Have emergency supplies on hand such as a battery ope RT nsemo At 7 pm Paul Mason Executive Director of the Nova Scotia Emergency Management Office will do a Facebook Live to give update RT TravelGoC The peak of the hurricane season is starting It will go on until November 30 If you decide to travel to a hurricaneprone Min Goodale Indigenous Community Corrections Initiative funding to UofRegina will help Indigenous offenders with Fetal Alcohol Spectrum Disorder rehabilitate and reintegrate    RT EHSNS SafetyCanada Talk to your doctor about preparing a grabandgo bag if possible with a twoweek supply of medication and med Atlantic Canada make sure you know what to do if Dorian hits  Today appointments were announced to the Structured Intervention Unit Implementation Advisory Panel under BillC83 which will help assess the progress of SIU implementation ensure greater transparency and report on challenges Learn more    RT RCMPDepot This Sunday watch the rcmpgrcpolice honour its members who died keeping Canadians safeThe 2019 RT INFCeng GoC supports flood mitigation measures in the Lower Laurentians Keeping 31400 residents safe  Reducing recovery costs
21-09-2019,0,0,No change on the spread of COVID19,07-09-2019, RT SafetyCanada Atlantic Canada make sure you know what to do if Dorian hits  RT nsemo Representatives from the Nova Scotia Emergency Management Office will provide media with an update at approx 730 PM about Dor RT MECLPEI The high winds from the storm are causing fallen trees and downed power lines Please be safe and do not approach downed lines RT ECCCCHC Get the latest on DORIAN Gusts now reaching 140 kmh along the Atlantic coast Expected to pass near Halifax by 7pm https RT RCMPNS RCMPNS driving conditions throughout the province are deteriorating We have seen debris on roadways and significant water on RT PEIPublicSafety Never never go down to the water to watch the storm Most people who are killed during hurricanes are caught in large RT nsemo Nova Scotians are advised that the worst of the storm is yet to come and will continue throughout the night Please continue to Residents should follow the advice of local law enforcement and first responders Our deepest thanks go out to the first responders search and rescue volunteers and emergency managers working to keep people safe GOC will help restore essential services and keep Nova Scotians safe from the damage left by HurricaneDorian  nsemo  NSStorm  RT NBEMOOMUNB Hurricane Dorian update Sept 7 2019 325 pm NBEMO Dorian   RT redcrosscanada With Atlantic Canada preparing for HurricaneDorian know what to do before during and after a power outage  https RT PEIPublicSafety While Dorian is fast approaching there is still time to prepare Islanders are encouraged to make final preparations RT PEIPublicSafety Possible in PEI during or after storm Localized flooding Flash flooding Water pooling on roads Hazardous driv RT canredcrossns If you are evacuating and bringing a pet to a Dorian emergency shelter please bring a towel or blanket along with cage RT nsemo We are hearing reports of trees down on roads across the province Please stay inside and off the roads as conditions continue t RT nsemo When the power is out foods in your fridge and freezer can become a health risk In the event of a power outage NSStorm Do RT CanRevAgency If you are affected  by Hurricane Dorian you may be eligible for taxpayer relief  CdnTax https Download the WeatherCAN app for the latest advisories and warnings in your area   RT PEIPublicSafety 35  Propane and charcoal barbecues are for OUTDOOR use only Do not bring them inside  no not even in your garage RT PEIPublicSafety 45 Use portable generators OUTDOORS only  ensure that exhaust fumes cannot enter the home Allow generator to cool b RT ECCCCHC The live stream planned this afternoon is cancelled Continue following ECCCCHC and your regional weather channels for upda RT ECCCCHC Updates on Hurricane Dorian  We cant stop natural disasters from occurring but we can GetPrepared for them Start today   RT NBEMOOMUNB Hurricane Dorian update Sept 7 2019 845 am NBEMO dorianhurricane    RT hfxgov Emergency shelters are being activated at noon today at the Dartmouth East Community Centre the Canada Games Centre and St Ma RT nsemo Representatives from the Nova Scotia Emergency Management Office will provide media with an update at noon about HurricaneDoria RT redcrosscanada Latest on HurricaneDorian affecting Atlantic Canada  Tips on what to do before during and after a hurricane  htt RT ECCCCHC Tune in LIVE on our ECCC  Weather Facebook page tomorrow afternoon for updates from the Canadian Hurricane Centre on Hurric RT Transportgc The mandatory speed restriction in the western Gulf of StLawrence is lifted to help keep mariners safe from HurricaneDo
22-09-2019,0,0,No change on the spread of COVID19,08-09-2019, Prime Minister Justin Trudeaus statement on International LiteracyDay  RT nsgov HurricanePosttropical Storm Dorian Update  Ouragan  tempte posttropicale Dorian  RT 5CdnDiv Our 5divsoldiers from 36 Service Batallion are ready provide help to our community in support in the days following Hurricai RT NBEMOOMUNB Cleanup underway after hurricane Dorian  RT CFOperations Our teams JTFAFOIA worked this morning alongside nsemo to assess where CAF support is needed Approx 300 military pers RT MightyMaroonTac Happy to have met our CanadianArmy 5divsoldiers who are ready to support the province as part of CFOperations  OpL RT CanRevAgency If you are affected by Hurricane Dorian you may be eligible for taxpayer relief  CdnTax https Follow the latest Hurricane Dorian information by visiting ECCCCHC   DYK tornados move at speeds of up to 70 kmh GetPrepared for tornado season today   RT nsemo Please do not try and remove or trim branches near downed power lines If you see a downed wire please stay awayAlways maint RT CanadianForces Canadian Armed Forces ready to support emergency response to Hurricane Dorian in Nova Scotia OpLENTUS  RT PEIPublicSafety Reminder  please stay away from downed power lines RT nsgov HurricanePosttropical Storm Dorian  Ouragan  tempte posttropicale Dorian  RT redcrosscanada What to do if experiencing flooding at homeMaintain good hygiene during cleanup by minimizing contact with floodwa RT nsemo Representatives from the Nova Scotia Emergency Management Office will provide media with an update on poststorm recovery and re RT nsenvironment If youre on a well and your power was out or you had flooding during the storm you should test the water once you get RT redcrosscanada Without power Turn off all lights except one inside and one outside so both you and hydro crews know that power If youre in danger of flash flooding move any furniture and electrical appliances to ground level and dont attempt to shut off electricity if any water is present Dorian  As we remember those weve lost in the line of duty we reflect on the courage amp sacrifice of our fallen firefighters amp their families Today and every day we thank firefighters for their dedicated service in keeping Canadians safe  Today on Firefighters National Memorial Day we pause to honour the brave amp selfless men amp women who paid the ultimate sacrifice they will never be forgotten 
23-09-2019,0,0,No change on the spread of COVID19,09-09-2019, Prime Minister Justin Trudeau announces a new member of the National Security and Intelligence Review Agency  RT redcrosscanada During a poweroutage follow these tipsTurn off all appliances amp electronic equipmentKeep refrigerator amp freeze RT JTFAFOIA Troops from CanadianArmy 5CdnDiv 4 Engineer Support Regiment are ready to support the province of Nova Scotia and help out Learn the signs of radicalization to violence and what you can do to help prevent it  RT nsemo For those who are still without power here are some safety tips Use flashlights or batteryoperated lanterns instead of cand RT PEIPublicSafety Live Hurricane Dorian update right now   RT nsgov HurricanePosttropical Storm Dorian Update  Ouragan  tempte posttropicale Dorian  RT PEIPublicSafety Two structure fires yesterday  both causing significant damage  were related to improper generator use Portable gen RT VeteransENGCA Veterans former members of the RCMP or family members affected by hurricane Dorian in Atlantic Canada should always fo
